Number Of Letters,Number of Sentences,Number of Tokens,Number of Unique Words,Number of syllables,Number of Tokens with More Than 2 Syllables,Mean Sentence Length in Letters,Mean Sentence Length in Syllables,Mean Sentence Length in Tokens,Number of Word Tokens (excluding punctuation and numbers),Number of Word Tokens (including Punctuation and Numbers),Number of Word Types,Number of Word Types (excluding Punctuation and numbers),Number of Word Types (including Punctuation and Numbers),Number of Word Types with More Than 2 Syllables,Percentage of Tokens with More Than 2 Syllables,Percentage of Word Types with More Than 2 Syllables,Proficiency
1451,18,354,116,637,195,80.6111111111111,35.3888888888889,19.6666666666667,354,382,159,162,165,128,0.550847457627119,0.752941176470588,2
1484,18,329,120,644,192,82.4444444444444,35.7777777777778,18.2777777777778,328,368,172,172,178,142,0.583586626139818,0.78021978021978,2
1454,16,323,143,622,179,90.875,38.875,20.1875,320,359,185,185,193,151,0.554179566563467,0.778350515463918,2
1014,20,227,97,433,130,50.7,21.65,11.35,227,256,132,133,137,106,0.572687224669604,0.746478873239437,2
959,14,227,81,399,119,68.5,28.5,16.2142857142857,227,252,115,117,119,88,0.524229074889868,0.704,2
1085,15,249,112,456,130,72.3333333333333,30.4,16.6,249,269,143,144,146,114,0.522088353413655,0.75,2
1152,13,258,100,493,134,88.6153846153846,37.9230769230769,19.8461538461538,258,277,136,137,140,109,0.51937984496124,0.756944444444444,2
909,20,218,97,389,121,45.45,19.45,10.9,217,249,132,131,136,98,0.555045871559633,0.695035460992908,2
1026,13,250,96,444,131,78.9230769230769,34.1538461538462,19.2307692307692,248,277,132,131,136,101,0.524,0.731884057971015,2
1057,16,248,80,447,142,66.0625,27.9375,15.5,247,280,126,126,132,98,0.57258064516129,0.73134328358209,2
1039,14,248,106,449,136,74.2142857142857,32.0714285714286,17.7142857142857,246,272,142,141,148,110,0.548387096774194,0.733333333333333,2
788,16,184,95,334,99,49.25,20.875,11.5,184,204,119,121,127,90,0.53804347826087,0.714285714285714,2
897,9,202,80,391,117,99.6666666666667,43.4444444444444,22.4444444444444,202,222,109,110,114,85,0.579207920792079,0.732758620689655,2
978,13,228,99,412,127,75.2307692307692,31.6923076923077,17.5384615384615,228,260,131,133,136,102,0.557017543859649,0.733812949640288,2
1049,9,242,91,471,129,116.555555555556,52.3333333333333,26.8888888888889,241,278,125,126,131,104,0.533057851239669,0.793893129770992,2
969,13,210,67,394,125,74.5384615384615,30.3076923076923,16.1538461538462,210,245,106,106,109,80,0.595238095238095,0.727272727272727,2
821,12,177,76,350,105,68.4166666666667,29.1666666666667,14.75,177,202,107,107,111,84,0.593220338983051,0.763636363636364,2
1065,26,262,107,458,133,40.9615384615385,17.6153846153846,10.0769230769231,262,304,147,148,154,109,0.50763358778626,0.694267515923567,2
1119,16,257,113,483,137,69.9375,30.1875,16.0625,257,292,149,150,154,117,0.533073929961089,0.745222929936306,2
1263,14,290,100,552,163,90.2142857142857,39.4285714285714,20.7142857142857,290,318,143,147,150,112,0.562068965517241,0.736842105263158,2
1215,17,294,85,523,152,71.4705882352941,30.7647058823529,17.2941176470588,293,323,132,134,138,103,0.517006802721088,0.715277777777778,2
1060,11,266,97,465,137,96.3636363636364,42.2727272727273,24.1818181818182,266,296,133,134,139,103,0.515037593984962,0.751824817518248,2
1426,18,367,89,648,190,79.2222222222222,36,20.3888888888889,367,398,137,138,140,112,0.517711171662125,0.736842105263158,2
1457,17,329,134,628,175,85.7058823529412,36.9411764705882,19.3529411764706,328,379,178,179,187,142,0.531914893617021,0.751322751322751,2
1601,17,381,150,703,208,94.1764705882353,41.3529411764706,22.4117647058824,381,436,192,195,200,168,0.545931758530184,0.819512195121951,2
1230,12,304,108,532,143,102.5,44.3333333333333,25.3333333333333,304,340,143,145,148,107,0.470394736842105,0.718120805369127,2
1355,14,338,131,590,161,96.7857142857143,42.1428571428571,24.1428571428571,337,378,168,169,174,135,0.476331360946746,0.767045454545455,2
859,22,215,88,372,109,39.0454545454545,16.9090909090909,9.77272727272727,213,244,124,122,131,91,0.506976744186047,0.684210526315789,2
1236,7,307,106,548,151,176.571428571429,78.2857142857143,43.8571428571429,307,335,147,148,150,113,0.49185667752443,0.738562091503268,2
1520,20,349,133,667,179,76,33.35,17.45,349,414,175,176,182,143,0.512893982808023,0.772972972972973,2
1369,25,319,107,598,176,54.76,23.92,12.76,319,353,154,156,162,126,0.551724137931034,0.759036144578313,2
1690,25,405,141,735,213,67.6,29.4,16.2,404,453,195,195,202,157,0.525925925925926,0.765853658536585,2
828,9,165,73,346,91,92,38.4444444444444,18.3333333333333,165,179,95,97,99,72,0.551515151515152,0.705882352941177,2
576,7,141,44,262,80,82.2857142857143,37.4285714285714,20.1428571428571,141,156,71,71,75,54,0.567375886524823,0.72,2
550,7,114,36,237,63,78.5714285714286,33.8571428571429,16.2857142857143,114,124,56,59,61,42,0.552631578947368,0.666666666666667,2
325,8,64,37,129,36,40.625,16.125,8,64,72,46,47,48,29,0.5625,0.547169811320755,2
541,13,154,48,245,76,41.6153846153846,18.8461538461538,11.8461538461538,154,173,70,73,77,49,0.493506493506494,0.604938271604938,2
276,3,50,25,110,29,92,36.6666666666667,16.6666666666667,50,57,34,34,36,21,0.58,0.6,2
1147,15,267,100,507,141,76.4666666666667,33.8,17.8,267,288,134,135,139,104,0.528089887640449,0.737588652482269,3
723,6,172,72,338,99,120.5,56.3333333333333,28.6666666666667,172,193,94,95,99,78,0.575581395348837,0.787878787878788,3
1305,12,318,89,581,169,108.75,48.4166666666667,26.5,318,352,140,141,144,108,0.531446540880503,0.744827586206897,3
568,4,129,68,247,72,142,61.75,32.25,129,152,85,85,90,57,0.558139534883721,0.662790697674419,3
871,8,199,91,393,99,108.875,49.125,24.875,199,237,113,114,119,85,0.49748743718593,0.708333333333333,3
772,6,170,91,350,87,128.666666666667,58.3333333333333,28.3333333333333,170,200,107,107,111,79,0.511764705882353,0.724770642201835,3
1159,15,244,112,504,125,77.2666666666667,33.6,16.2666666666667,235,293,146,139,151,107,0.512295081967213,0.708609271523179,3
1062,13,218,82,448,123,81.6923076923077,34.4615384615385,16.7692307692308,217,252,117,119,125,96,0.564220183486238,0.761904761904762,3
1331,16,315,105,592,157,83.1875,37,19.6875,314,368,147,148,153,121,0.498412698412698,0.775641025641026,3
568,6,122,54,247,69,94.6666666666667,41.1666666666667,20.3333333333333,122,134,68,69,73,56,0.565573770491803,0.777777777777778,3
974,12,240,85,435,115,81.1666666666667,36.25,20,239,266,119,119,124,93,0.479166666666667,0.75,3
2021,22,454,155,870,240,91.8636363636364,39.5454545454545,20.6363636363636,454,506,214,216,221,181,0.52863436123348,0.790393013100437,3
2172,25,489,148,957,275,86.88,38.28,19.56,488,552,212,213,222,186,0.562372188139059,0.812227074235808,3
2828,27,587,196,1180,324,104.740740740741,43.7037037037037,21.7407407407407,584,670,269,271,278,230,0.551959114139693,0.804195804195804,3
2592,22,566,190,1129,295,117.818181818182,51.3181818181818,25.7272727272727,565,606,253,255,260,211,0.521201413427562,0.793233082706767,3
2369,20,490,179,1010,266,118.45,50.5,24.5,486,535,239,237,243,203,0.542857142857143,0.818548387096774,3
1680,18,360,126,737,196,93.3333333333333,40.9444444444444,20,359,389,177,177,183,144,0.544444444444444,0.770053475935829,3
1456,21,318,98,637,177,69.3333333333333,30.3333333333333,15.1428571428571,318,380,144,147,152,124,0.556603773584906,0.779874213836478,3
1874,28,404,139,826,228,66.9285714285714,29.5,14.4285714285714,403,453,186,187,194,164,0.564356435643564,0.81592039800995,3
1652,20,351,141,705,202,82.6,35.25,17.55,350,391,184,185,191,155,0.575498575498576,0.794871794871795,3
1411,14,306,111,597,168,100.785714285714,42.6428571428571,21.8571428571429,305,331,151,153,157,129,0.549019607843137,0.796296296296296,3
1680,18,365,136,746,199,93.3333333333333,41.4444444444444,20.2777777777778,363,398,180,181,186,153,0.545205479452055,0.788659793814433,3
3500,38,751,241,1528,414,92.1052631578947,40.2105263157895,19.7631578947368,750,843,339,342,349,298,0.551264980026631,0.837078651685393,3
2605,21,563,175,1113,311,124.047619047619,53,26.8095238095238,559,625,247,248,256,214,0.552397868561279,0.823076923076923,3
520,4,117,56,216,60,130,54,29.25,116,138,78,78,84,51,0.512820512820513,0.6375,3
497,9,118,71,213,62,55.2222222222222,23.6666666666667,13.1111111111111,118,137,85,86,90,59,0.525423728813559,0.655555555555556,3
556,7,144,62,252,81,79.4285714285714,36,20.5714285714286,143,163,85,84,89,63,0.5625,0.715909090909091,3
783,16,193,76,352,98,48.9375,22,12.0625,192,227,105,105,112,82,0.507772020725389,0.71304347826087,3
368,6,89,42,168,53,61.3333333333333,28,14.8333333333333,89,101,58,58,60,44,0.595505617977528,0.709677419354839,3
230,5,51,29,102,32,46,20.4,10.2,51,59,36,37,39,25,0.627450980392157,0.675675675675676,3
493,7,131,45,220,60,70.4285714285714,31.4285714285714,18.7142857142857,131,149,63,65,67,42,0.458015267175573,0.608695652173913,3
297,5,65,49,131,38,59.4,26.2,13,65,74,55,55,58,38,0.584615384615385,0.666666666666667,3
1210,15,275,92,528,146,80.6666666666667,35.2,18.3333333333333,274,318,139,138,145,109,0.530909090909091,0.751724137931034,3
965,16,238,102,432,123,60.3125,27,14.875,237,275,133,134,140,103,0.516806722689076,0.725352112676056,3
801,11,192,87,367,106,72.8181818181818,33.3636363636364,17.4545454545455,192,233,108,110,114,90,0.552083333333333,0.789473684210526,3
428,7,97,61,187,55,61.1428571428571,26.7142857142857,13.8571428571429,97,116,73,74,78,49,0.56701030927835,0.662162162162162,3
534,12,144,56,231,63,44.5,19.25,12,144,178,73,75,79,46,0.4375,0.582278481012658,3
437,6,99,49,192,58,72.8333333333333,32,16.5,98,115,68,67,73,50,0.585858585858586,0.704225352112676,3
276,9,66,42,122,40,30.6666666666667,13.5555555555556,7.33333333333333,66,80,49,51,55,37,0.606060606060606,0.672727272727273,3
348,6,82,41,158,48,58,26.3333333333333,13.6666666666667,82,92,53,53,55,40,0.585365853658537,0.740740740740741,3
1073,15,244,98,475,131,71.5333333333333,31.6666666666667,16.2666666666667,243,287,137,137,144,101,0.536885245901639,0.706293706293706,3
769,13,168,82,334,110,59.1538461538462,25.6923076923077,12.9230769230769,168,196,111,112,117,89,0.654761904761905,0.754237288135593,3
721,12,175,66,331,106,60.0833333333333,27.5833333333333,14.5833333333333,175,210,96,97,101,74,0.605714285714286,0.74,3
484,8,118,55,212,64,60.5,26.5,14.75,118,134,74,75,79,57,0.542372881355932,0.730769230769231,3
732,14,192,69,323,92,52.2857142857143,23.0714285714286,13.7142857142857,192,221,97,98,101,68,0.479166666666667,0.653846153846154,3
198,7,46,30,86,27,28.2857142857143,12.2857142857143,6.57142857142857,46,57,35,35,41,24,0.58695652173913,0.685714285714286,3
233,7,53,34,96,33,33.2857142857143,13.7142857142857,7.57142857142857,53,58,41,42,44,28,0.622641509433962,0.622222222222222,3
381,8,86,58,168,48,47.625,21,10.75,86,99,69,69,73,46,0.558139534883721,0.647887323943662,3
268,5,60,37,119,34,53.6,23.8,12,60,73,45,46,52,31,0.566666666666667,0.645833333333333,3
388,5,92,50,169,49,77.6,33.8,18.4,92,108,64,64,69,45,0.532608695652174,0.681818181818182,3
826,6,187,68,361,87,137.666666666667,60.1666666666667,31.1666666666667,187,221,96,98,102,68,0.46524064171123,0.660194174757282,3
364,8,81,51,160,49,45.5,20,10.125,81,93,61,62,65,43,0.604938271604938,0.671875,3
475,4,123,61,213,66,118.75,53.25,30.75,122,139,80,80,86,57,0.536585365853659,0.670588235294118,3
841,10,187,98,351,97,84.1,35.1,18.7,187,219,119,120,125,88,0.518716577540107,0.709677419354839,3
907,6,206,84,400,116,151.166666666667,66.6666666666667,34.3333333333333,206,234,116,117,123,95,0.563106796116505,0.785123966942149,3
1223,13,292,121,545,152,94.0769230769231,41.9230769230769,22.4615384615385,292,345,155,156,163,128,0.520547945205479,0.771084337349398,3
893,13,213,66,383,107,68.6923076923077,29.4615384615385,16.3846153846154,213,245,103,105,108,78,0.502347417840376,0.684210526315789,3
1218,14,277,102,532,141,87,38,19.7857142857143,277,313,139,140,143,115,0.509025270758123,0.793103448275862,3
1121,14,261,99,485,139,80.0714285714286,34.6428571428571,18.6428571428571,261,311,135,138,144,105,0.532567049808429,0.719178082191781,3
1195,15,260,138,510,140,79.6666666666667,34,17.3333333333333,259,293,163,164,167,128,0.538461538461538,0.757396449704142,3
1307,16,294,137,586,153,81.6875,36.625,18.375,294,323,165,167,170,131,0.520408163265306,0.757225433526012,3
1036,20,226,82,456,120,51.8,22.8,11.3,226,250,115,117,119,92,0.530973451327434,0.741935483870968,3
723,11,166,78,316,89,65.7272727272727,28.7272727272727,15.0909090909091,166,179,98,103,105,77,0.536144578313253,0.712962962962963,3
1409,23,323,114,629,175,61.2608695652174,27.3478260869565,14.0434782608696,318,376,168,166,175,129,0.541795665634675,0.716666666666667,1
1738,43,440,132,785,244,40.4186046511628,18.2558139534884,10.2325581395349,438,530,201,202,212,166,0.554545454545455,0.754545454545455,1
157,14,46,26,69,17,11.2142857142857,4.92857142857143,3.28571428571429,46,73,32,33,37,15,0.369565217391304,0.428571428571429,1
307,8,88,41,141,41,38.375,17.625,11,87,104,52,53,57,31,0.465909090909091,0.574074074074074,1
601,12,165,47,264,67,50.0833333333333,22,13.75,163,189,78,76,82,51,0.406060606060606,0.593023255813954,1
401,20,95,46,164,47,20.05,8.2,4.75,95,135,61,62,68,43,0.494736842105263,0.661538461538462,1
456,12,122,37,202,54,38,16.8333333333333,10.1666666666667,122,144,59,60,64,37,0.442622950819672,0.587301587301587,1
485,7,116,63,218,63,69.2857142857143,31.1428571428571,16.5714285714286,116,126,75,75,78,58,0.543103448275862,0.753246753246753,1
411,7,95,58,180,60,58.7142857142857,25.7142857142857,13.5714285714286,94,107,68,69,72,49,0.631578947368421,0.690140845070423,1
1365,19,313,142,614,170,71.8421052631579,32.3157894736842,16.4736842105263,313,342,174,174,179,141,0.543130990415335,0.783333333333333,1
536,10,123,49,236,62,53.6,23.6,12.3,123,133,68,69,72,45,0.504065040650406,0.625,1
1175,20,239,98,514,144,58.75,25.7,11.95,235,269,136,133,141,112,0.602510460251046,0.783216783216783,1
1228,25,289,99,526,156,49.12,21.04,11.56,285,328,144,144,151,107,0.539792387543253,0.690322580645161,1
541,9,115,59,231,68,60.1111111111111,25.6666666666667,12.7777777777778,115,130,75,75,80,58,0.591304347826087,0.725,1
1191,17,263,108,510,145,70.0588235294118,30,15.4705882352941,263,294,139,142,144,116,0.551330798479088,0.778523489932886,1
873,19,209,97,385,108,45.9473684210526,20.2631578947368,11,208,239,126,127,133,92,0.516746411483254,0.676470588235294,1
627,16,159,74,272,76,39.1875,17,9.9375,157,184,98,96,103,67,0.477987421383648,0.632075471698113,1
714,11,169,66,307,96,64.9090909090909,27.9090909090909,15.3636363636364,167,185,96,96,101,71,0.568047337278107,0.696078431372549,1
722,12,157,75,307,97,60.1666666666667,25.5833333333333,13.0833333333333,157,174,100,101,103,76,0.617834394904459,0.730769230769231,1
639,10,150,70,274,82,63.9,27.4,15,150,172,91,93,95,67,0.546666666666667,0.690721649484536,1
346,6,76,43,156,44,57.6666666666667,26,12.6666666666667,76,86,55,56,58,38,0.578947368421053,0.655172413793103,1
901,19,224,91,393,118,47.4210526315789,20.6842105263158,11.7894736842105,224,250,118,120,125,92,0.526785714285714,0.724409448818898,1
489,10,123,58,207,61,48.9,20.7,12.3,123,139,74,75,77,49,0.495934959349593,0.620253164556962,1
794,19,185,85,340,100,41.7894736842105,17.8947368421053,9.73684210526316,184,218,113,113,118,84,0.540540540540541,0.694214876033058,1
1258,15,296,97,556,167,83.8666666666667,37.0666666666667,19.7333333333333,295,331,145,147,151,121,0.564189189189189,0.790849673202614,1
736,22,165,72,312,94,33.4545454545455,14.1818181818182,7.5,165,190,105,108,112,77,0.56969696969697,0.663793103448276,1
503,11,115,55,220,57,45.7272727272727,20,10.4545454545455,115,126,71,72,74,47,0.495652173913044,0.618421052631579,1
791,16,186,81,342,102,49.4375,21.375,11.625,186,215,108,110,115,78,0.548387096774194,0.672413793103448,1
489,13,129,51,214,62,37.6153846153846,16.4615384615385,9.92307692307692,128,148,71,71,77,46,0.48062015503876,0.597402597402597,1
709,10,165,72,311,92,70.9,31.1,16.5,164,177,100,100,103,78,0.557575757575758,0.728971962616822,1
317,5,71,41,139,39,63.4,27.8,14.2,71,80,52,52,55,36,0.549295774647887,0.692307692307692,1
698,10,179,71,293,88,69.8,29.3,17.9,173,196,102,98,107,71,0.491620111731844,0.63963963963964,1
563,11,138,55,248,75,51.1818181818182,22.5454545454545,12.5454545454545,138,159,78,79,83,56,0.543478260869565,0.658823529411765,1
897,15,216,95,391,116,59.8,26.0666666666667,14.4,213,245,123,122,127,97,0.537037037037037,0.740458015267176,1
679,12,153,70,298,85,56.5833333333333,24.8333333333333,12.75,152,171,94,94,97,76,0.555555555555556,0.752475247524752,1
598,12,140,62,251,82,49.8333333333333,20.9166666666667,11.6666666666667,139,156,85,85,89,66,0.585714285714286,0.717391304347826,1
642,15,158,70,276,84,42.8,18.4,10.5333333333333,158,177,95,96,100,71,0.531645569620253,0.696078431372549,2
880,15,206,85,386,111,58.6666666666667,25.7333333333333,13.7333333333333,200,229,119,116,124,92,0.538834951456311,0.724409448818898,2
580,9,144,77,247,75,64.4444444444444,27.4444444444444,16,141,169,98,96,105,69,0.520833333333333,0.683168316831683,2
1004,16,206,105,434,111,62.75,27.125,12.875,201,237,132,129,138,104,0.538834951456311,0.753623188405797,2
951,15,198,78,424,109,63.4,28.2666666666667,13.2,195,222,112,109,116,90,0.55050505050505,0.756302521008403,2
973,16,213,80,423,122,60.8125,26.4375,13.3125,212,246,116,116,119,92,0.572769953051643,0.736,2
1075,11,253,78,480,123,97.7272727272727,43.6363636363636,23,253,280,111,112,118,87,0.486166007905138,0.756521739130435,2
1082,13,235,99,467,126,83.2307692307692,35.9230769230769,18.0769230769231,235,260,129,130,134,100,0.536170212765957,0.735294117647059,2
1315,10,319,90,607,159,131.5,60.7,31.9,319,351,130,131,133,106,0.498432601880878,0.785185185185185,2
843,8,185,89,377,109,105.375,47.125,23.125,185,207,112,113,116,94,0.589189189189189,0.810344827586207,2
1773,18,402,152,789,211,98.5,43.8333333333333,22.3333333333333,402,439,198,200,203,171,0.524875621890547,0.822115384615385,2
872,11,184,79,382,99,79.2727272727273,34.7272727272727,16.7272727272727,184,215,106,107,113,78,0.53804347826087,0.709090909090909,2
1266,17,281,94,546,148,74.4705882352941,32.1176470588235,16.5294117647059,281,320,135,138,144,107,0.526690391459075,0.753521126760563,2
1165,18,254,105,515,140,64.7222222222222,28.6111111111111,14.1111111111111,254,296,133,137,142,113,0.551181102362205,0.801418439716312,2
930,13,205,65,417,120,71.5384615384615,32.0769230769231,15.7692307692308,204,220,102,102,107,80,0.585365853658537,0.754716981132076,2
966,12,194,105,433,114,80.5,36.0833333333333,16.1666666666667,194,214,121,122,124,102,0.587628865979381,0.829268292682927,2
642,7,138,63,288,71,91.7142857142857,41.1428571428571,19.7142857142857,138,154,82,83,86,59,0.514492753623188,0.686046511627907,2
544,8,129,48,272,69,68,34,16.125,129,147,67,68,72,53,0.534883720930233,0.746478873239437,2
871,15,216,67,387,115,58.0666666666667,25.8,14.4,205,238,109,101,114,83,0.532407407407407,0.721739130434783,2
1201,16,266,114,522,137,75.0625,32.625,16.625,265,290,145,144,148,116,0.515037593984962,0.773333333333333,2
1594,17,348,110,712,180,93.7647058823529,41.8823529411765,20.4705882352941,348,388,163,164,168,136,0.517241379310345,0.8,2
1290,13,284,116,552,161,99.2307692307692,42.4615384615385,21.8461538461538,283,320,151,153,158,125,0.566901408450704,0.78125,2
1152,11,261,112,525,135,104.727272727273,47.7272727272727,23.7272727272727,261,281,137,141,146,116,0.517241379310345,0.789115646258503,2
1243,12,260,102,544,144,103.583333333333,45.3333333333333,21.6666666666667,260,284,132,136,138,110,0.553846153846154,0.797101449275362,2
766,8,170,72,330,99,95.75,41.25,21.25,170,180,92,96,98,75,0.582352941176471,0.742574257425743,2
431,6,99,44,196,60,71.8333333333333,32.6666666666667,16.5,99,109,60,61,63,48,0.606060606060606,0.738461538461539,2
1036,14,251,102,439,121,74,31.3571428571429,17.9285714285714,251,274,137,139,145,101,0.48207171314741,0.696551724137931,2
669,9,170,84,292,85,74.3333333333333,32.4444444444444,18.8888888888889,170,186,104,106,108,76,0.5,0.678571428571429,2
1008,13,235,99,432,127,77.5384615384615,33.2307692307692,18.0769230769231,233,270,138,138,145,106,0.540425531914894,0.731034482758621,2
783,12,181,83,339,93,65.25,28.25,15.0833333333333,179,200,112,112,118,78,0.513812154696133,0.672413793103448,2
485,9,111,70,206,66,53.8888888888889,22.8888888888889,12.3333333333333,111,130,83,85,87,60,0.594594594594595,0.681818181818182,2
1209,21,289,115,510,151,57.5714285714286,24.2857142857143,13.7619047619048,289,333,160,163,167,118,0.522491349480969,0.674285714285714,2
1347,12,327,124,587,179,112.25,48.9166666666667,27.25,327,358,166,169,173,129,0.547400611620795,0.741379310344828,2
1033,20,246,103,449,133,51.65,22.45,12.3,246,279,135,138,141,108,0.540650406504065,0.73469387755102,2
1019,20,259,98,453,136,50.95,22.65,12.95,258,293,131,132,136,103,0.525096525096525,0.741007194244604,2
1073,14,235,103,464,134,76.6428571428571,33.1428571428571,16.7857142857143,235,262,139,140,144,108,0.570212765957447,0.73469387755102,2
1015,14,239,70,447,133,72.5,31.9285714285714,17.0714285714286,239,273,108,109,113,86,0.556485355648536,0.741379310344828,2
1369,21,337,110,593,187,65.1904761904762,28.2380952380952,16.047619047619,337,380,155,156,162,118,0.554896142433234,0.710843373493976,2
1278,17,308,89,553,164,75.1764705882353,32.5294117647059,18.1176470588235,308,363,135,137,143,104,0.532467532467532,0.707482993197279,2
1333,15,317,97,559,162,88.8666666666667,37.2666666666667,21.1333333333333,317,360,147,150,156,115,0.511041009463722,0.709876543209877,2
1506,14,383,105,648,182,107.571428571429,46.2857142857143,27.3571428571429,383,416,155,157,163,124,0.475195822454308,0.746987951807229,2
1404,20,311,127,610,170,70.2,30.5,15.55,311,355,166,167,173,139,0.546623794212219,0.798850574712644,2
1302,21,324,96,582,157,62,27.7142857142857,15.4285714285714,324,386,143,144,149,113,0.484567901234568,0.719745222929936,2
1163,10,283,108,519,152,116.3,51.9,28.3,283,317,144,145,150,115,0.537102473498233,0.76158940397351,2
1217,21,270,88,521,154,57.9523809523809,24.8095238095238,12.8571428571429,269,305,131,133,136,110,0.57037037037037,0.769230769230769,2
1200,18,266,116,510,156,66.6666666666667,28.3333333333333,14.7777777777778,266,295,153,154,156,124,0.586466165413534,0.779874213836478,2
833,5,204,95,362,111,166.6,72.4,40.8,204,226,119,121,124,93,0.544117647058823,0.75,2
1054,11,254,97,483,136,95.8181818181818,43.9090909090909,23.0909090909091,254,286,131,132,135,101,0.535433070866142,0.737226277372263,2
1518,17,383,97,702,198,89.2941176470588,41.2941176470588,22.5294117647059,383,426,150,152,155,126,0.516971279373368,0.773006134969325,2
1194,16,268,101,521,145,74.625,32.5625,16.75,268,308,139,142,147,112,0.541044776119403,0.727272727272727,2
1360,11,283,109,601,149,123.636363636364,54.6363636363636,25.7272727272727,283,311,139,140,145,115,0.526501766784452,0.798611111111111,2
1327,12,301,94,600,171,110.583333333333,50,25.0833333333333,301,332,134,136,139,116,0.568106312292359,0.816901408450704,2
1658,13,397,137,740,215,127.538461538462,56.9230769230769,30.5384615384615,396,445,186,188,193,154,0.541561712846348,0.785714285714286,2
1691,20,383,124,734,202,84.55,36.7,19.15,383,434,170,171,177,146,0.527415143603133,0.811111111111111,2
917,13,206,77,401,123,70.5384615384615,30.8461538461538,15.8461538461538,206,242,109,110,112,93,0.597087378640777,0.775,2
1359,24,330,124,569,168,56.625,23.7083333333333,13.75,328,379,179,178,187,136,0.509090909090909,0.731182795698925,2
1788,36,430,157,761,234,49.6666666666667,21.1388888888889,11.9444444444444,428,484,218,216,224,175,0.544186046511628,0.747863247863248,2
1997,27,478,146,888,264,73.962962962963,32.8888888888889,17.7037037037037,477,537,215,218,223,172,0.552301255230126,0.735042735042735,2
1213,10,288,105,526,153,121.3,52.6,28.8,286,331,153,152,156,121,0.53125,0.765822784810127,2
1309,14,305,110,569,154,93.5,40.6428571428571,21.7857142857143,303,343,158,157,165,117,0.504918032786885,0.704819277108434,3
1470,19,327,128,639,192,77.3684210526316,33.6315789473684,17.2105263157895,326,365,175,175,181,144,0.587155963302752,0.774193548387097,3
1363,21,307,129,579,170,64.9047619047619,27.5714285714286,14.6190476190476,306,348,171,172,179,145,0.553745928338762,0.78804347826087,3
1304,13,309,134,580,161,100.307692307692,44.6153846153846,23.7692307692308,309,348,165,168,173,139,0.521035598705502,0.798850574712644,3
759,21,178,81,321,92,36.1428571428571,15.2857142857143,8.47619047619048,177,234,111,111,117,76,0.51685393258427,0.64957264957265,1
357,18,88,47,152,50,19.8333333333333,8.44444444444444,4.88888888888889,87,113,61,61,67,41,0.568181818181818,0.621212121212121,1
658,14,155,67,289,80,47,20.6428571428571,11.0714285714286,155,172,88,88,91,66,0.516129032258065,0.717391304347826,1
404,14,102,36,182,56,28.8571428571429,13,7.28571428571429,101,130,60,60,66,43,0.549019607843137,0.632352941176471,1
698,9,162,73,312,87,77.5555555555556,34.6666666666667,18,161,173,94,93,96,76,0.537037037037037,0.775510204081633,1
1260,20,325,78,573,169,63,28.65,16.25,324,349,123,122,125,97,0.52,0.734848484848485,1
668,31,181,73,294,87,21.5483870967742,9.48387096774194,5.83870967741935,178,240,102,101,108,71,0.480662983425414,0.617391304347826,1
169,7,51,28,78,26,24.1428571428571,11.1428571428571,7.28571428571429,49,59,37,35,41,24,0.509803921568627,0.6,1
385,7,108,45,174,44,55,24.8571428571429,15.4285714285714,106,115,62,62,65,39,0.407407407407407,0.582089552238806,1
353,18,95,36,154,52,19.6111111111111,8.55555555555556,5.27777777777778,95,117,57,57,63,40,0.547368421052632,0.634920634920635,1
496,10,112,58,225,65,49.6,22.5,11.2,112,125,72,73,76,55,0.580357142857143,0.733333333333333,1
364,9,99,47,170,45,40.4444444444444,18.8888888888889,11,99,112,58,59,61,40,0.454545454545455,0.655737704918033,1
736,13,160,39,311,88,56.6153846153846,23.9230769230769,12.3076923076923,160,176,72,73,75,53,0.55,0.6625,1
365,8,98,27,165,47,45.625,20.625,12.25,98,111,47,48,50,29,0.479591836734694,0.568627450980392,1
362,9,87,37,157,51,40.2222222222222,17.4444444444444,9.66666666666667,87,108,54,56,60,40,0.586206896551724,0.677966101694915,1
237,19,73,31,104,29,12.4736842105263,5.47368421052632,3.84210526315789,73,102,43,43,47,26,0.397260273972603,0.565217391304348,1
550,16,128,55,234,64,34.375,14.625,8,128,146,74,77,80,54,0.5,0.620689655172414,1
381,11,102,45,174,49,34.6363636363636,15.8181818181818,9.27272727272727,102,116,59,59,61,44,0.480392156862745,0.698412698412698,1
382,8,81,42,163,52,47.75,20.375,10.125,81,89,56,56,57,41,0.641975308641975,0.694915254237288,1
266,10,64,39,122,38,26.6,12.2,6.4,64,74,48,50,51,36,0.59375,0.666666666666667,1
820,14,180,56,347,96,58.5714285714286,24.7857142857143,12.8571428571429,180,200,88,90,92,68,0.533333333333333,0.701030927835051,1
388,12,95,57,177,55,32.3333333333333,14.75,7.91666666666667,95,113,67,68,73,48,0.578947368421053,0.676056338028169,1
762,11,159,67,331,95,69.2727272727273,30.0909090909091,14.4545454545455,159,177,94,95,99,68,0.59748427672956,0.68,1
461,6,103,62,201,60,76.8333333333333,33.5,17.1666666666667,103,114,75,75,77,53,0.58252427184466,0.697368421052632,1
902,10,180,62,400,107,90.2,40,18,180,200,95,96,98,80,0.594444444444444,0.792079207920792,1
